ticker,company_name,exchange,market_cap,market_cap_category,sector,industry,sic,sic_description,cik,website,ir_url,data_quality_score,data_source,shares_outstanding,last_price,isin,cusip,country,currency
SION,"Sionna Therapeutics, Inc.",NASDAQ,1555133402.88,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0002036042,,,60,sec_fallback,44998073.0,34.56,,,US,USD
NTLA,"Intellia Therapeutics, Inc.",NASDAQ,1553456129.9,small,,In Vitro & In Vivo Diagnostic Substances,2835,In Vitro & In Vivo Diagnostic Substances,0001652130,,,60,sec_fallback,118133546.0,13.15,,,US,USD
BHVN,Biohaven Ltd.,NYSE,1550800136.04,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001935979,,,60,sec_fallback,150417084.0,10.31,,,US,USD
OLMA,"Olema Pharmaceuticals, Inc.",NASDAQ,1548967862.8799999,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001750284,,,60,sec_fallback,68659923.0,22.56,,,US,USD
TNDM,TANDEM DIABETES CARE INC,NASDAQ,1546215728.01,small,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0001438133,,,60,sec_fallback,68325927.0,22.63,,,US,USD
PRGO,PERRIGO Co plc,NYSE,1541672742.3999999,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001585364,,,60,sec_fallback,137649352.0,11.2,,,US,USD
ARDX,"ARDELYX, INC.",NASDAQ,1537701367.29,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001437402,,,60,sec_fallback,245247427.0,6.27,,,US,USD
AXGN,"Axogen, Inc.",NASDAQ,1513336407.1200001,small,,Electromedical & Electrotherapeutic Apparatus,3845,Electromedical & Electrotherapeutic Apparatus,0000805928,,,60,sec_fallback,51897682.0,29.16,,,US,USD
ATRC,"AtriCure, Inc.",NASDAQ,1509738099.31,small,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0001323885,,,60,sec_fallback,49809901.0,30.31,,,US,USD
NKTR,NEKTAR THERAPEUTICS,NASDAQ,1473748123.05,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0000906709,,,60,sec_fallback,20341589.0,72.45,,,US,USD
QDEL,QuidelOrtho Corp,NASDAQ,1457630631.47,small,,In Vitro & In Vivo Diagnostic Substances,2835,In Vitro & In Vivo Diagnostic Substances,0001906324,,,60,sec_fallback,68081767.0,21.41,,,US,USD
IXHL,Incannex Healthcare Inc.,NASDAQ,1433317472.0,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001873875,,,60,sec_fallback,358329368.0,4.0,,,US,USD
PRCT,PROCEPT BioRobotics Corp,NASDAQ,1429491468.6000001,small,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0001588978,,,60,sec_fallback,56390196.0,25.35,,,US,USD
EVAX,Evaxion A/S,NASDAQ,1417836570.3999999,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001828253,,,60,sec_fallback,417010756.0,3.4,,,US,USD
RAPP,"Rapport Therapeutics, Inc.",NASDAQ,1413152741.7,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0002012593,,,60,sec_fallback,47661138.0,29.65,,,US,USD
MBX,"MBX Biosciences, Inc.",NASDAQ,1411503863.37,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001776111,,,60,sec_fallback,44902302.0,31.435,,,US,USD
PHVS,Pharvaris N.V.,NASDAQ,1405166047.44,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001830487,,,60,sec_fallback,54379491.0,25.84,,,US,USD
ORIC,"Oric Pharmaceuticals, Inc.",NASDAQ,1389961651.7,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001796280,,,60,sec_fallback,100358242.0,13.85,,,US,USD
KMTS,"KESTRA MEDICAL TECHNOLOGIES, LTD.",NASDAQ,1382872556.1,small,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0001877184,,,60,sec_fallback,58349053.0,23.7,,,US,USD
IMTX,Immatics N.V.,NASDAQ,1360825034.8,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001809196,,,60,sec_fallback,134071432.0,10.15,,,US,USD
ZBIO,"Zenas BioPharma, Inc.",NASDAQ,1355935733.16,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001953926,,,60,sec_fallback,53679166.0,25.26,,,US,USD
HROW,"HARROW, INC.",NASDAQ,1346598429.8500001,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001360214,,,60,sec_fallback,37229705.0,36.17,,,US,USD
KOD,Kodiak Sciences Inc.,NASDAQ,1334698448.48,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001468748,,,60,sec_fallback,53048428.0,25.16,,,US,USD
PMN,ProMIS Neurosciences Inc.,NASDAQ,1333977416.8999999,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001374339,,,60,sec_fallback,53811110.0,24.79,,,US,USD
DAWN,"Day One Biopharmaceuticals, Inc.",NASDAQ,1320144490.98,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001845337,,,60,sec_fallback,103297691.0,12.78,,,US,USD
EYPT,"EyePoint, Inc.",NASDAQ,1314887532.0,small,,Laboratory Analytical Instruments,3826,Laboratory Analytical Instruments,0001314102,,,60,sec_fallback,83431950.0,15.76,,,US,USD
ATAI,Atai Beckley N.V.,NASDAQ,1285694447.88,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001840904,,,60,sec_fallback,363190522.0,3.54,,,US,USD
CNMD,CONMED Corp,NYSE,1276508390.3999999,small,,Electromedical & Electrotherapeutic Apparatus,3845,Electromedical & Electrotherapeutic Apparatus,0000816956,,,60,sec_fallback,30833536.0,41.4,,,US,USD
IRMD,IRADIMED CORP,NASDAQ,1273387715.6,small,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0001325618,,,60,sec_fallback,12721156.0,100.1,,,US,USD
